"name","city","state","country","address","Longitude","Latitude","Municipalities","Website",""
"Tomasz�w Mazowiecki Cmentarz komunalny","Tomasz�w Mazowiecki"," L�dz Voivodeship"," Poland","71/81 Dabrowska Tomasz�w Mazowiecki, Powiat Tomaszowski, L�dz Voivodeship, 97-200 Poland","19.985084","51.518314"," Powiat Tomaszowski","",""
"Topola Kr�lewska, cm. parafialny","Topola Kr�lewska"," L�dz Voivodeship"," Poland","60 Topola Kr�lewska, Powiat Leczycki, L�dz Voivodeship, 99-100 Poland","19.203249223857","52.083569089488"," Powiat Leczycki","",""
"Kroczyce, Cmentarz I Wojny Swiatowej","Kroczyce"," Silesian Voivodeship"," Poland","11 1 Maja Kroczyce, Powiat Zawiercianski, Silesian Voivodeship, 42-425 Poland","19.569184","50.558264"," Powiat Zawiercianski","",""
"Slawno, cmentarz parafialny","Slawno"," L�dz Voivodeship"," Poland","45 Jana Pawla Ii Slawno, Powiat Opoczynski, L�dz Voivodeship, 26-332 Poland","20.142488","51.386781"," Powiat Opoczynski","",""
"Szczuki, cmentarz","Szczuki"," L�dz Voivodeship"," Poland","22 Szczuki, Powiat Rawski, L�dz Voivodeship, 96-230 Poland","20.564233288361","51.757397794664"," Powiat Rawski","",""
"Krasna, Cmentarz","Cieszyn"," Silesian Voivodeship"," Poland","176 Bielska Cieszyn, Powiat Cieszynski, Silesian Voivodeship, 43-400 Poland","18.678461321299","49.754726232246"," Powiat Cieszynski","",""
"Koziegl�wki cmentarz ","Koziegl�wki"," Silesian Voivodeship"," Poland","9 Warpie Koziegl�wki, Powiat Myszkowski, Silesian Voivodeship, 42-350 Poland","19.18705","50.584254"," Powiat Myszkowski","",""
"Krowiarki, cmentarz","Krowiarki"," Silesian Voivodeship"," Poland","14 Powstanc�w Slaskich Krowiarki, Racib�rz, Silesian Voivodeship, 47-494 Poland","18.079659224958","50.14021948798"," Racib�rz","",""
"Konopiska Cmentarz ","Konopiska"," Silesian Voivodeship"," Poland","49 Czestochowska Konopiska, Powiat Czestochowski, Silesian Voivodeship, 42-274 Poland","19.012147872183","50.7298901362"," Powiat Czestochowski","",""
"Koszecin, cmentarz","Koszecin"," Silesian Voivodeship"," Poland","907 Koszecin, Powiat Lubliniecki, Silesian Voivodeship, 42-286 Poland","18.843212","50.62092"," Powiat Lubliniecki","",""
"Kozieglowy cmentarz","Kozieglowy"," Silesian Voivodeship"," Poland","85 Tadeusza Kosciuszki Kozieglowy, Powiat Myszkowski, Silesian Voivodeship, 42-350 Poland","19.162626","50.590885"," Powiat Myszkowski","",""
"Szadek Cmentarz im. Wawrzynca","Szadkowice-Ogrodzim"," L�dz Voivodeship"," Poland","63 Widawska Szadkowice-Ogrodzim, Powiat Zdunskowolski, L�dz Voivodeship, 98-240 Poland","18.973899","51.68171"," Powiat Zdunskowolski","",""
"Kruszyna Cmentarz parafialny ","Kruszyna"," Silesian Voivodeship"," Poland","2 Cmentarna Kruszyna, Powiat Czestochowski, Silesian Voivodeship, 42-282 Poland 
                         
                    ","19.265972978821","50.967825665001"," Powiat Czestochowski","http://www.cmentarz.parafiakruszyna.pl",""
"Koniecpol cmentarz parafialny","Koniecpol"," Silesian Voivodeship"," Poland","23b Szkolna Koniecpol, Powiat Czestochowski, Silesian Voivodeship, 42-230 Poland","19.699038125777","50.78237557154"," Powiat Czestochowski","",""
"Koniak�w, cmentarz","Koniak�w"," Silesian Voivodeship"," Poland","Plac Koscielny Koniak�w, Powiat Cieszynski, Silesian Voivodeship, 43-474 Poland","18.939554236771","49.55186"," Powiat Cieszynski","",""
"Konczyce Wielkie cmentarz rzymskokatolicki","Konczyce Wielkie"," Silesian Voivodeship"," Poland","7 Szkolna Konczyce Wielkie, Powiat Cieszynski, Silesian Voivodeship, 43-416 Poland","18.652602213829","49.836260803665"," Powiat Cieszynski","",""
"Kochcice, cmentarz","Kochcice"," Silesian Voivodeship"," Poland","2 Rolna Kochcice, Powiat Lubliniecki, Silesian Voivodeship, 42-713 Poland","18.690428900763","50.70435311749"," Powiat Lubliniecki","",""
