"name","city","state","country","address","Longitude","Latitude","Municipalities","Website",""
"Capps Cemetery","Marshall"," North Carolina"," United States","52 Flynn Branch Rd Marshall, Madison, North Carolina, 28753 United States","-82.656739972621","35.840455260387"," Madison","",""
"Rose City  Cemetery","Portland"," Oregon"," United States","5625 NE Fremont Portland, Multnomah, Oregon, 97213 United States 
                         
                    ","-122.60736","45.550481"," Multnomah","https://www.rosecityfuneralhome.com/",""
"Capps Cemetery","Hendersonville"," North Carolina"," United States","1-143 Luke Martin Ln Hendersonville, Henderson, North Carolina, 28739 United States","-82.487525666341","35.256647826958"," Henderson","",""
"Rock Creek Cemetery","Haines"," Oregon"," United States","14973-14985 S Rock Cr Ln Haines, Baker, Oregon, 97833 United States","-117.99638565181","44.905360789043"," Baker","",""
"Capps Cemetery","Weaverville"," North Carolina"," United States","Bluff Cove Rd Weaverville, Buncombe, North Carolina, 28787 United States","-82.564171","35.680561"," Buncombe","",""
"Capps Cemetery","Red Oak"," North Carolina"," United States","4917-5013 Red Oak Rd Red Oak, Nash, North Carolina, 27856 United States","-77.920240703775","36.019931455607"," Nash","",""
"Capps Cem","Stump Sound"," North Carolina"," United States","102 Benjamin Grant Court Stump Sound, Onslow, North Carolina, 28460 United States","-77.43892","34.558498"," Onslow","",""
"Rock Point Cemetery","Gold Hill"," Oregon"," United States","2201-2531 Oregon 99 Gold Hill, Jackson, Oregon, 97525 United States","-123.08572304504","42.436121337714"," Jackson","",""
"Capernaum Cemetery","Cherryville"," North Carolina"," United States","1951 Cherryville Rd Cherryville, Cleveland, North Carolina, 28021 United States","-81.439927494425","35.355632773643"," Cleveland","",""
"Creswell Cemetery","Conestoga"," Pennsylvania"," United States","2 Cresswell Ln Conestoga, Lancaster, Pennsylvania, 17516 United States","-76.433990956656","39.962642749647"," Lancaster","",""
"East Valley Cemetery","Andover"," New York"," United States","5107-5233 E Valley Rd Andover, Allegany, New York, 14806 United States","-77.756393","42.224998"," Allegany","",""
"East Valley Cemetery","Andover"," New York"," United States","4473-4501 E Valley Rd Andover, Allegany, New York, 14806 United States","-77.7679448835586","42.190631611882"," Allegany","",""
"Cressona Cemetery","Cressona"," Pennsylvania"," United States","95 Ash Street Cressona, Schuylkill, Pennsylvania, 17929 United States","-76.199954678573","40.626816285314"," Schuylkill","",""
"East Shelby Cemetery","Medina"," New York"," United States","12633 Trensch Rd Medina, Orleans, New York, 14103 United States","-78.306583948413","43.160976958404"," Orleans","",""
"East Side Cemetery","Chateaugay"," New York"," United States","2240-6134 U.S. 11 Chateaugay, Franklin, New York, 12920 United States","-74.06694","44.92667"," Franklin","",""
"East Springwater Cemetery","Wayland"," New York"," United States","8580 Tabors Corner Rd Wayland, Livingston, New York, 14572 United States","-77.522170319068","42.603687657985"," Livingston","",""
"Salaway Cemetery","Allen"," South Dakota"," United States","Unnamed Rd Allen, Bennett, South Dakota, 57714 United States","-101.86243258276","43.348013946909"," Bennett","",""
"Saints Simon and Jude Catholic Cemetery","Flandreau"," South Dakota"," United States","901-999 E Broad Ave Flandreau, Moody, South Dakota, 57028 United States","-96.580704223559","44.041419849167"," Moody","",""
"Cannon/Hart family ","Ayden"," North Carolina"," United States","Arrowhead Road Ayden, Pitt, North Carolina, 28513 United States","-77.393771124213","35.475448804455"," Pitt","",""
"Saints Cyril and Mehodius Cemetery","Bon Homme"," South Dakota"," United States","Vodnany Church Road Bon Homme, South Dakota United States","-97.879585695869","43.133430939075","","",""
"Cape Fear Memorial Park","Southport Smithville"," North Carolina"," United States","4763 Southport-Supply Road Southeast Southport Smithville, Brunswick, North Carolina, 28461 United States","-78.06361302194","33.955208551311"," Brunswick","",""
"Saint Williams Catholic Cemetery","Brookings"," South Dakota"," United States","477th Avenue Brookings, South Dakota, 57276 United States","-96.668346162216","44.283583329027","","",""
"Cannon, David Family Cemetery","Grifton"," North Carolina"," United States","332 East Littlefield Road Grifton, Pitt, North Carolina, 28513 United States","-77.423652471214","35.430810836772"," Pitt","",""
"East Wayland Cemetery","Wayland"," New York"," United States","10751-10959 Kiefer Corners Orchard Comford Rd Wayland, Steuben, New York, 14572 United States 
                         
                    ","-77.568836673996","42.535378040153"," Steuben","http://www.paintedhills.org/STEUBEN/EastWaylandCem.htm",""
