name,city,state,country,address,Longitude,Latitude,Municipalities,Website
BE-war Haringhe (Bandagham) Military Cemetery,Poperinge, Vlaanderen, Belgium,"1-3 Nachtegaalstraat Poperinge, West-Vlaanderen, Vlaanderen, 8972 Belgium",2.61499,50.901546169049, West-Vlaanderen,
BE-war Kandahar Farm Cemetery,Heuvelland, Vlaanderen, Belgium,"86-90 Nieuwkerkestraat Heuvelland, West-Vlaanderen, Vlaanderen Belgium",2.8476000000001,50.754775700038, West-Vlaanderen,
BE-war Hooge Crater Cemetery,Ieper, Vlaanderen, Belgium,"552-556 Meenseweg Ieper, West-Vlaanderen, Vlaanderen, 8902 Belgium",2.94294,50.84553, West-Vlaanderen,
BE-war Houthulst Militaire Begraafplaats,Houthulst, Vlaanderen, Belgium,"31 Poelkapellestraat Houthulst, West-Vlaanderen, Vlaanderen, 8650 Belgium",2.94821,50.96636270264, West-Vlaanderen,
BE-7040 Quevy-le-Petit ,Qu�vy, Wallonie, Belgium,"2-10 Rue Saint-Eloi Qu�vy, Hainaut, Wallonie Belgium",3.9401848306885,50.366419687325, Hainaut,
BE-7033 Cimeti�re de Cuesmes,Mons, Wallonie, Belgium,"90 Rue de Frameries Mons, Hainaut, Wallonie, 7033 Belgium",3.9200714576721,50.434611504442, Hainaut,
BE-war Hedge Row Trench Cemetery,Ieper, Vlaanderen, Belgium,"1 Verbrandemolenstraat Ieper, West-Vlaanderen, Vlaanderen, 8902 Belgium",2.9137558306885,50.81934744694, West-Vlaanderen,
BE-6990 Hotton War Cemetery,Hotton, Wallonie, Belgium,"8 Rue de la Lib�ration Hotton, Luxembourg, Wallonie Belgium",5.4466870846558,50.262355706726, Luxembourg,
BE-war Godezonne Farm Cemetery,Heuvelland, Vlaanderen, Belgium,"5-7 Kriekstraat Heuvelland, West-Vlaanderen, Vlaanderen, 8956 Belgium",2.840530728836,50.800502876545, West-Vlaanderen,
BE-6990 Cimeti�re de Marenne,Hotton, Wallonie, Belgium,"1-3 Rue de la Gare Hotton, Luxembourg, Wallonie Belgium",5.3978495042992,50.247569531412, Luxembourg,
BE-6953 Ambly Communal Cemetery,Nassogne, Wallonie, Belgium,"Rue du Cimeti�re Nassogne, Luxembourg, Wallonie, 6953 Belgium",5.3125129153442,50.140414361854, Luxembourg,
BE-6929 Haut-Fays,Daverdisse, Wallonie, Belgium,"10 Rue du Cimeti�re Daverdisse, Luxembourg, Wallonie, 6929 Belgium",5.0127566962544,50.00148255473, Luxembourg,
BE-7050 Erbisoeul (Eglise Saint Martin),Jurbise, Wallonie, Belgium,"6 Rue Basse Jurbise, Hainaut, Wallonie, 7050 Belgium",3.896646,50.516114, Hainaut,
BE-6880 Auby-sur-Semois,Bertrix, Wallonie, Belgium,"28 Riage Bertrix, Luxembourg, Wallonie, 6880 Belgium",5.178962464197,49.817970733801, Luxembourg,
BE-6850 Cimeti�re Nollevaux,Paliseul, Wallonie, Belgium,"Rue de Merwez Paliseul, Luxembourg, Wallonie Belgium",5.1218293558197,49.868081847374, Luxembourg,
BE-6880 Bertrix,Bertrix, Wallonie, Belgium,"2 Rue de Finay Bertrix, Luxembourg, Wallonie Belgium",5.1930861865081,49.909698909308, Luxembourg,
BE-7050 Masnuy-Saint-Jean (Eglise St Jean),Jurbise, Wallonie, Belgium,"10 Rue de l'Eglise Jurbise, Hainaut, Wallonie, 7050 Belgium",3.940553,50.532537, Hainaut,
BE-6830 Tombes de Guerre du Commonwealth,Bouillon, Wallonie, Belgium,"17 Rue de la Semois Bouillon, Luxembourg, Wallonie Belgium",5.1445433472213,49.813391154548, Luxembourg,
BE-7050 Herchies (Eglise Saint Martin),Jurbise, Wallonie, Belgium,"2100 Place d'Herchies Jurbise, Hainaut, Wallonie, 7050 Belgium",3.858241,50.529144, Hainaut,
