name,city,state,country,address,Longitude,Latitude,Municipalities,Website
Yaamba Cemetery,Yaamba, Queensland, Australia,"1 Iris St Yaamba, Queensland, 4702 Australia",150.367498,-23.133311,,
Wyandra Cemetery,Wyandra, Queensland, Australia,"2 Moody St Wyandra, Queensland, 4489 Australia",145.974159,-27.253515,,
Frogmore Cemetery,Frogmore, New South Wales, Australia,"LOT 2 Bally Hooley Rd Frogmore, New South Wales, 2586 Australia",148.84909,-34.271964,,
Frogmore - Saint John the Baptist Catholic Church/Graveyard,Frogmore, New South Wales, Australia,"993 Frogmore Rd Frogmore, New South Wales, 2586 Australia",148.83963,-34.27137,,
Georges Plains - Saint John Anglican Church Graveyard ,Georges Plains, New South Wales, Australia,"Vale Rd Georges Plains, New South Wales, 2795 Australia",149.52365,-33.51364,,
Woongarra Crematorium,Townsville, Queensland, Australia,"A1 Townsville, Queensland, 4811 Australia",146.875055,-19.358394,,
Woodlands Cemetery,Marburg, Queensland, Australia,"174 Seminary Rd Marburg, Queensland, 4346 Australia",152.603773,-27.553938,,
Woombye Cemetery,Palmwoods, Queensland, Australia,"118-150 Woombye-Palmwoods Rd Palmwoods, Queensland, 4555 Australia",152.973583441803,-26.6808837967357,,
Fords Bridge Cemetery,Fords Bridge, New South Wales, Australia,"Snake Gully Road Fords Bridge, Bourke Shire Council, New South Wales, 2840 Australia",145.418129,-29.759869, Bourke Shire Council,
Garah Cemetery,Garah, New South Wales, Australia,"LOT 10 Talmoi Rd Garah, New South Wales, 2405 Australia",149.601645,-29.077138,,
Fitzgeralds Valley graves,Newbridge, New South Wales, Australia,"W Wimbeldon Rd Newbridge, New South Wales, 2795 Australia",149.397713,-33.552041,,
First Fleet Memorial Gardens,Wallabadah, New South Wales, Australia,"LOT 9 Coach St Wallabadah, New South Wales, 2343 Australia",150.831642,-31.537139,,
Frost's Rest,Cooranbong, New South Wales, Australia,"154 Mannings Road Cooranbong, New South Wales, 2265 Australia",151.4422,-33.099891,,
Galong (Monastery) Cemetery,Galong, New South Wales, Australia,"LOT 214 Galong Rd Galong, New South Wales, 2585 Australia",148.560176,-34.567353,,
Ganmain Cemetery,Ganmain, New South Wales, Australia,"7 Grave St Ganmain, New South Wales, 2702 Australia",147.046873,-34.803426,,
Frenchs Forest Bushland Cemetery,Sydney, New South Wales, Australia,"1 Hakea Ave Sydney, Northern Beaches, New South Wales, 2086 Australia",151.20142,-33.73988, Northern Beaches,
